WL[nm],[T%]
777,95.61491394
778,95.59840393
779,95.56750488
780,95.54140472
781,95.52150726
782,95.49729156
783,95.45833588
784,95.41297913
785,95.39319611
786,95.39050293
787,95.40029907
788,95.37620544
789,95.33798218
790,95.33917236
791,95.39091492
792,95.34117889
793,95.36083221
794,95.34801483
795,95.31317902
796,95.35552216
797,95.40768433
798,95.41378784
799,95.41876221
800,95.70643616
